معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,المدة المتوقعة,خدمة التكييف,خدمة الكهرباء,خدمة السباكة,خدمة النجارة,خدمة الدهان,خدمة التنظيف,خدمة الحدادة,خدمة السيراميك,خدمة الزجاج,خدمة الألمنيوم,خدمة الأرضيات,خدمة الأسقف,خدمة الجدران,حالة الزيارة,ملاحظات,مصدر البيانات
0005-JED-001-0001,0005-001,0005,regular,completed,12-Feb-24,09:00,12-Feb-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,4-Jan-24,09:00,4-Jan-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,11-Jun-24,09:00,11-Jun-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,19-Oct-24,09:00,19-Oct-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,1-Sep-24,09:00,1-Sep-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,1-Apr-24,09:00,1-Apr-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,11-Nov-24,09:00,11-Nov-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0005-JED-001-0001,0005-001,0005,regular,completed,1-Aug-24,09:00,1-Aug-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0018-JED-001-0001,0018-001,0018,regular,completed,30-Jun-2025,09:00,30-Jun-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,3-Mar-24,09:00,3-Mar-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,1-Aug-2024,09:00,1-Aug-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,1-May-2024,09:00,1-May-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,17-Feb-2025,09:00,17-Feb-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0042-RAB-001-0001,0042-001,0042,regular,completed,11-Dec-2024,09:00,11-Dec-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0006-JED-001-0001,0006-001,0006,regular,completed,11-Sep-2024,09:00,11-Sep-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0006-JED-001-0001,0006-001,0006,regular,completed,5-Feb-2025,09:00,5-Feb-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0006-JED-001-0001,0006-001,0006,regular,completed,27-Feb-2025,09:00,27-Feb-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0006-JED-001-0001,0006-001,0006,regular,completed,27-Mar-2025,09:00,27-Mar-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0006-JED-001-0001,0006-001,0006,regular,completed,27-Apr-2025,09:00,27-Apr-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0006-JED-001-0001,0006-001,0006,regular,completed,26-Jan-2025,09:00,26-Jan-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0015-JED-001-0002,0015-002,0015,regular,completed,2-Sep-2024,09:00,2-Sep-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0015-JED-002-0003,0015-003,0015,regular,completed,18-May-2025,09:00,18-May-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0015-JAZ-001-0004,0015-004,0015,regular,completed,14-Feb-2025,09:00,14-Feb-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0015-JED-001-0001,0015-001,0015,regular,completed,1-Nov-2024,09:00,1-Nov-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0015-JED-001-0002,0015-002,0015,regular,completed,1-Aug-2024,09:00,1-Aug-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0015-JED-002-0003,0015-003,0015,regular,completed,21-Aug-2024,09:00,21-Aug-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0022-JED-001-0001,0022-001,0022,regular,completed,19-May-25,09:00,19-May-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0022-JED-001-0001,0022-001,0022,regular,completed,1-Sep-2024,09:00,1-Sep-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,10-Apr-25,09:00,10-Apr-25,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,1-Jun-24,09:00,1-Jun-24,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,1-Sep-2024,09:00,1-Sep-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,3-Mar-2024,09:00,3-Mar-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,25-Jul-2024,09:00,25-Jul-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,24-Feb-2025,09:00,24-Feb-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0061-JED-001-0001,0061-001,0061,regular,completed,24-Feb-2024,09:00,24-Feb-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0043-JED-001-0001,0043-001,0043,regular,completed,3-Mar-2024,09:00,3-Mar-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0043-JED-001-0001,0043-001,0043,regular,completed,1-Nov-2024,09:00,1-Nov-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0060-JED-001-0001,0060-001,0060,regular,completed,1-Apr-2024,09:00,1-Apr-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0060-JED-001-0001,0060-001,0060,regular,completed,24-Sep-2024,09:00,24-Sep-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-007-0007,0033-007,0033,regular,completed,22-Jan-2024,09:00,22-Jan-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-012-0012,0033-012,0033,regular,completed,22-Jul-2024,09:00,22-Jul-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-009-0009,0033-009,0033,regular,completed,22-Jul-2024,09:00,22-Jul-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-011-0011,0033-011,0033,regular,completed,23-Jun-2025,09:00,23-Jun-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-015-0015,0033-015,0033,regular,completed,22-Jan-2024,09:00,22-Jan-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-014-0014,0033-014,0033,regular,completed,22-Jul-2024,09:00,22-Jul-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-013-0013,0033-013,0033,regular,completed,1-Feb-2025,09:00,1-Feb-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-006-0006,0033-006,0033,regular,completed,22-Jan-2024,09:00,22-Jan-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-008-0008,0033-008,0033,regular,completed,1-Jul-2024,09:00,1-Jul-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-005-0005,0033-005,0033,regular,completed,25-Jun-2025,09:00,25-Jun-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-001-0001,0033-001,0033,regular,completed,22-Jan-2024,09:00,22-Jan-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-010-0010,0033-010,0033,regular,completed,1-Jul-2024,09:00,1-Jul-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-002-0002,0033-002,0033,regular,completed,25-Jun-2025,09:00,25-Jun-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-004-0004,0033-004,0033,regular,completed,30-Dec-2024,09:00,30-Dec-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-003-0003,0033-003,0033,regular,completed,22-Jan-2024,09:00,22-Jan-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-007-0007,0033-007,0033,regular,completed,1-Jul-2024,09:00,1-Jul-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-012-0012,0033-012,0033,regular,completed,6-Jul-2025,09:00,6-Jul-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-009-0009,0033-009,0033,regular,completed,22-Jan-2024,09:00,22-Jan-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-011-0011,0033-011,0033,regular,completed,13-Jul-2024,09:00,13-Jul-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-015-0015,0033-015,0033,regular,completed,1-Feb-2025,09:00,1-Feb-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-014-0014,0033-014,0033,regular,completed,25-Jun-2025,09:00,25-Jun-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-013-0013,0033-013,0033,regular,completed,7-Jun-2025,09:00,7-Jun-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-006-0006,0033-006,0033,regular,completed,22-Jan-2024,09:00,22-Jan-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-008-0008,0033-008,0033,regular,completed,22-Jul-2024,09:00,22-Jul-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-005-0005,0033-005,0033,regular,completed,28-Dec-2024,09:00,28-Dec-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-001-0001,0033-001,0033,regular,completed,23-Jun-2025,09:00,23-Jun-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-010-0010,0033-010,0033,regular,completed,21-Jan-2025,09:00,21-Jan-2025,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-002-0002,0033-002,0033,regular,completed,22-Jan-2024,09:00,22-Jan-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-004-0004,0033-004,0033,regular,completed,1-Aug-2024,09:00,1-Aug-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-003-0003,0033-003,0033,regular,completed,8-Jul-2024,09:00,8-Jul-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-007-0007,0033-007,0033,regular,completed,1-Dec-2024,09:00,1-Dec-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-012-0012,0033-012,0033,regular,completed,1-May-2024,09:00,1-May-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
0033-JED-009-0009,0033-009,0033,regular,completed,22-Jan-2024,09:00,22-Jan-2024,11:30,150,,,,,,,,,,,,,,completed,passed,system-import
