Client name,Concept,Location,City,visit1,visit2,visit3,visit4,visit5,visit6,visit7,visit8,visit9,visit10,visit11,visit12,visit13,visit14,visit15,visit16,visit17,visit18,visit19,visit20,visit21,visit22,visit23,visit24,visit25,visit26,visit27,visit28,visit29,visit30
شركة مجموعة شلهوب العربية المحدودة,Faces  ,Dhiyafa Mall,مكة المكرمة,2/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,The Deal,Gold Moor Centre,جدة,5/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces,Jeddah Park Mall,جدة,1/19/2025,5/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة لوكسيتان العربية للتجارة - شركة شخص واحد,L'Occitane,Jeddah Park Mall,جدة,5/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,Jeddah Park Mall,جدة,5/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الشركة العربية للهدايا الراقية المحدودة (ذات مسؤولية محدودة),Swarovski,Jeddah Park Mall,جدة,5/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces ,Jouri Mall,الطائف,10/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,GUESS ,Jouri Mall,الطائف,10/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة لوكسيتان العربية للتجارة - شركة شخص واحد,L'Occitane,Jouri Mall,الطائف,10/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة بي سي دي  العربية السعودية شركة شخص واحد ,MUFE,Jouri Mall,الطائف,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,Jouri Mall,الطائف,8/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الشركة العربية للهدايا الراقية المحدودة (ذات مسؤولية محدودة),Swarovski,Jouri Mall,الطائف,10/31/2024,8/8/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة بي سي دي  العربية السعودية شركة شخص واحد ,BENEFIT,Mall of Arabia,جدة,4/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces ,Mall of Arabia,جدة,4/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Lacoste,Mall of Arabia,جدة,18-Jan-25,9-Feb-25,4/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة لوكسيتان العربية للتجارة - شركة شخص واحد,L'Occitane,Mall of Arabia,جدة,3/25/2025,4/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Micheal Kors,Mall of Arabia,جدة,4/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة بي سي دي  العربية السعودية شركة شخص واحد ,MUFE,Mall of Arabia,جدة,4/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Purificacion Garcia,Mall of Arabia,جدة,9/17/2024,4/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Ralph Lauren,Mall of Arabia,جدة,4/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,Mall of Arabia,جدة,9/17/2024,4/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الشركة العربية للهدايا الراقية المحدودة (ذات مسؤولية محدودة),Swarovski,Mall of Arabia,جدة,4/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Tory Burch,Mall of Arabia,جدة,4/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
الشركة العربية للهدايا الراقية المحدودة (ذات مسؤولية محدودة),Tanagra,Mashael Center,جدة,5/7/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة لوكسيتان العربية للتجارة - شركة شخص واحد,L'Occitane,Mujan Park,أبها,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces ,Nojoud Center ,جدة,5/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Lacoste,Nojoud Center ,جدة,5/4/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,Noor Mall,المدينة المنورة,5/25/2025,7/11/2024,5/2/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces ,Obaikan Mall,الطائف,10/31/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,Faces ,Park Mall,تبوك,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة بوتش العربية المحدودة ,Penholigon’s-Kiosk,Rashid Mall,المدينة المنورة,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة سيفورا العربية المحدودة (ذات مسؤولية محدودة),Sephora,Rashid Mall,المدينة المنورة,5/25/2025,9/11/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,ADOLFO,Red Sea Mall,جدة,4/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة بي سي دي  العربية السعودية شركة شخص واحد ,BENEFIT,Red Sea Mall,جدة,4/27/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة مجموعة شلهوب العربية المحدودة,By Kilian,Red Sea Mall,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
شركة رضوى التجارية (ذات مسؤولية محدودة) - جدة,Chanel ,Red Sea Mall,جدة,4/24/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
