معرف الفرع*,معرف العقد*,معرف الشركة*,نوع الزيارة*,حالة الزيارة*,تاريخ الجدولة*,وقت الجدولة,تاريخ التنفيذ,وقت التنفيذ,المدة المتوقعة,خدمة التكييف,خدمة الكهرباء,خدمة السباكة,خدمة النجارة,خدمة الدهان,خدمة التنظيف,خدمة الحدادة,خدمة السيراميك,خدمة الزجاج,خدمة الألمنيوم,خدمة الأرضيات,خدمة الأسقف,خدمة الجدران,حالة الزيارة,ملاحظات,مصدر البيانات
0033-JED-001-0001,0001-001,0033,regular,completed,08-07-2024,09:00,08-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-014-0014,0033-014,0033,regular,completed,17-01-2024,09:00,17-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-014-0014,0033-014,0033,regular,completed,09-07-2024,09:00,09-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,13-07-2024,09:00,13-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-07-2024,09:00,22-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,28-12-2024,09:00,28-12-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-01-2024,09:00,22-01-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,22-07-2024,09:00,22-07-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
0033-JED-001-0001,0001-001,0033,regular,completed,30-12-2024,09:00,30-12-2024,11:30,150,,,,,,,,,,,,,,passed,,system-import
